,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
1667,Decision - Split,3,15:00,W,Aleksei Oleinik,0,94 of 183,51%,149 of 241,0 of 0,---,0,1,3:53,79 of 167,10 of 10,5 of 6,72 of 149,22 of 33,0 of 1,L,Fabricio Werdum,0,53 of 83,63%,70 of 101,3 of 7,42%,1,1,3:55,27 of 52,16 of 21,10 of 10,34 of 60,16 of 20,3 of 3
1668,Submission,2,9:38,W,Aleksei Oleinik,0,7 of 22,31%,25 of 46,3 of 3,100%,3,0,7:24,4 of 19,2 of 2,1 of 1,4 of 16,0 of 0,3 of 6,L,Maurice Greene,0,13 of 29,44%,38 of 54,0 of 0,---,0,0,0:54,10 of 25,1 of 2,2 of 2,10 of 26,3 of 3,0 of 0
1669,KO/TKO,1,0:12,L,Aleksei Oleinik,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0,W,Walt Harris,1,4 of 7,57%,4 of 7,0 of 0,---,0,0,0:01,2 of 5,2 of 2,0 of 0,2 of 5,0 of 0,2 of 2
1670,KO/TKO,1,4:45,L,Aleksei Oleinik,0,38 of 58,65%,78 of 101,0 of 0,---,0,0,1:23,15 of 34,23 of 24,0 of 0,12 of 26,26 of 32,0 of 0,W,Alistair Overeem,1,29 of 33,87%,31 of 35,0 of 1,0%,0,0,1:12,23 of 27,6 of 6,0 of 0,5 of 8,12 of 13,12 of 12
1671,Submission,1,4:26,W,Aleksei Oleinik,0,3 of 26,11%,3 of 26,1 of 5,20%,1,0,0:42,2 of 22,0 of 0,1 of 4,3 of 26,0 of 0,0 of 0,L,Mark Hunt,0,6 of 27,22%,6 of 27,0 of 0,---,0,0,0:00,2 of 20,0 of 2,4 of 5,6 of 27,0 of 0,0 of 0
1672,Submission,1,1:45,W,Aleksei Oleinik,0,10 of 17,58%,10 of 17,0 of 3,0%,1,0,0:15,6 of 12,2 of 3,2 of 2,10 of 17,0 of 0,0 of 0,L,Junior Albini,0,10 of 15,66%,10 of 15,1 of 1,100%,0,0,0:12,7 of 11,2 of 3,1 of 1,9 of 13,1 of 2,0 of 0
1673,TKO - Doctor's Stoppage,2,6:39,L,Aleksei Oleinik,0,34 of 68,50%,41 of 75,0 of 0,---,0,0,0:15,22 of 53,5 of 7,7 of 8,27 of 57,7 of 11,0 of 0,W,Curtis Blaydes,1,39 of 101,38%,50 of 112,4 of 4,100%,0,0,1:53,33 of 95,2 of 2,4 of 4,24 of 85,11 of 11,4 of 5
1674,Submission,2,8:44,W,Aleksei Oleinik,1,53 of 85,62%,132 of 172,3 of 4,75%,2,0,3:33,35 of 67,18 of 18,0 of 0,23 of 51,16 of 18,14 of 16,L,Travis Browne,1,35 of 71,49%,37 of 74,1 of 1,100%,0,0,1:23,17 of 48,16 of 21,2 of 2,25 of 59,10 of 11,0 of 1
1675,Submission,1,2:57,W,Aleksei Oleinik,0,7 of 15,46%,11 of 19,0 of 0,---,1,0,0:34,4 of 12,0 of 0,3 of 3,7 of 15,0 of 0,0 of 0,L,Viktor Pesta,0,7 of 19,36%,18 of 31,1 of 1,100%,0,0,1:43,7 of 19,0 of 0,0 of 0,3 of 11,0 of 0,4 of 8
1676,Decision - Majority,3,15:00,L,Aleksei Oleinik,0,8 of 28,28%,60 of 84,4 of 7,57%,2,1,9:23,6 of 25,1 of 1,1 of 2,2 of 19,1 of 1,5 of 8,W,Daniel Omielanczuk,0,26 of 37,70%,100 of 111,1 of 1,100%,0,2,3:57,22 of 32,4 of 5,0 of 0,10 of 17,2 of 5,14 of 15
1677,KO/TKO,1,3:21,W,Aleksei Oleinik,1,13 of 21,61%,38 of 47,0 of 0,---,0,0,0:04,11 of 19,1 of 1,1 of 1,5 of 10,6 of 9,2 of 2,L,Jared Rosholt,0,19 of 32,59%,22 of 35,0 of 0,---,0,0,1:13,14 of 27,3 of 3,2 of 2,2 of 7,17 of 25,0 of 0
1678,Submission,1,2:18,W,Aleksei Oleinik,0,10 of 22,45%,13 of 26,1 of 4,25%,1,0,0:42,6 of 18,4 of 4,0 of 0,7 of 18,3 of 4,0 of 0,L,Anthony Hamilton,0,6 of 14,42%,6 of 14,0 of 1,0%,0,0,0:17,5 of 13,1 of 1,0 of 0,5 of 12,1 of 2,0 of 0
1679,KO/TKO,1,2:11,W,Sergei Pavlovich,1,20 of 37,54%,21 of 38,0 of 0,---,0,0,0:14,20 of 36,0 of 1,0 of 0,7 of 17,5 of 8,8 of 12,L,Maurice Greene,0,8 of 22,36%,8 of 22,0 of 0,---,0,0,0:00,1 of 11,1 of 2,6 of 9,8 of 22,0 of 0,0 of 0
1680,KO/TKO,1,1:06,W,Sergei Pavlovich,1,17 of 26,65%,17 of 26,0 of 0,---,0,0,0:01,17 of 26,0 of 0,0 of 0,14 of 22,3 of 4,0 of 0,L,Marcelo Golm,0,5 of 15,33%,5 of 15,0 of 0,---,0,0,0:00,4 of 13,0 of 1,1 of 1,4 of 14,1 of 1,0 of 0
1681,KO/TKO,1,4:21,L,Sergei Pavlovich,0,13 of 32,40%,18 of 37,0 of 2,0%,0,0,0:12,9 of 25,3 of 6,1 of 1,8 of 22,5 of 10,0 of 0,W,Alistair Overeem,0,22 of 26,84%,26 of 31,1 of 2,50%,0,0,1:56,13 of 16,8 of 9,1 of 1,3 of 5,7 of 7,12 of 14
1682,Decision - Unanimous,3,15:00,W,Ciryl Gane,0,65 of 160,40%,65 of 160,0 of 1,0%,0,0,0:00,36 of 125,22 of 27,7 of 8,57 of 151,8 of 9,0 of 0,L,Tanner Boser,0,32 of 104,30%,32 of 104,0 of 0,---,0,0,0:00,13 of 83,5 of 6,14 of 15,32 of 104,0 of 0,0 of 0
1683,Submission,3,14:46,W,Ciryl Gane,1,94 of 168,55%,99 of 173,3 of 3,100%,1,0,2:17,50 of 112,30 of 40,14 of 16,68 of 128,22 of 29,4 of 11,L,Don'Tale Mayes,0,32 of 121,26%,40 of 132,0 of 0,---,0,0,0:02,14 of 90,5 of 9,13 of 22,30 of 118,2 of 3,0 of 0
1684,Submission,1,4:12,W,Ciryl Gane,0,15 of 22,68%,20 of 28,0 of 1,0%,1,0,0:33,7 of 13,4 of 5,4 of 4,14 of 19,1 of 1,0 of 2,L,Raphael Pessoa,0,7 of 41,17%,9 of 43,0 of 2,0%,0,0,0:01,5 of 36,2 of 3,0 of 2,6 of 37,1 of 4,0 of 0
1685,Decision - Split,3,15:00,L,Blagoy Ivanov,0,66 of 125,52%,71 of 130,1 of 3,33%,0,0,1:08,47 of 105,18 of 19,1 of 1,52 of 107,12 of 15,2 of 3,W,Augusto Sakai,0,78 of 161,48%,89 of 174,0 of 0,---,0,0,1:46,35 of 105,28 of 38,15 of 18,62 of 144,14 of 15,2 of 2
1686,Decision - Split,3,15:00,L,Blagoy Ivanov,0,20 of 38,52%,61 of 83,3 of 6,50%,1,0,3:20,12 of 27,7 of 10,1 of 1,12 of 24,8 of 14,0 of 0,W,Derrick Lewis,0,31 of 68,45%,32 of 69,1 of 3,33%,0,0,2:07,21 of 54,8 of 11,2 of 3,9 of 27,22 of 41,0 of 0
1687,Decision - Unanimous,3,15:00,W,Blagoy Ivanov,1,73 of 123,59%,81 of 131,2 of 2,100%,0,0,2:38,65 of 114,7 of 8,1 of 1,62 of 111,5 of 6,6 of 6,L,Tai Tuivasa,0,64 of 144,44%,66 of 146,0 of 0,---,0,0,2:39,39 of 114,6 of 7,19 of 23,50 of 126,14 of 18,0 of 0
1688,Decision - Unanimous,3,15:00,W,Blagoy Ivanov,0,72 of 178,40%,73 of 179,0 of 0,---,0,0,0:00,50 of 156,19 of 19,3 of 3,70 of 175,2 of 3,0 of 0,L,Ben Rothwell,0,70 of 163,42%,70 of 163,0 of 0,---,0,0,0:00,47 of 135,6 of 10,17 of 18,69 of 162,1 of 1,0 of 0
1689,Decision - Unanimous,5,25:00,L,Blagoy Ivanov,0,51 of 229,22%,51 of 229,0 of 0,---,0,0,0:03,40 of 213,10 of 15,1 of 1,49 of 227,2 of 2,0 of 0,W,Junior Dos Santos,0,110 of 248,44%,110 of 248,0 of 1,0%,0,0,0:00,66 of 170,41 of 75,3 of 3,110 of 248,0 of 0,0 of 0
1690,Decision - Unanimous,3,15:00,W,Marcin Tybura,0,94 of 183,51%,155 of 274,1 of 3,33%,0,0,3:08,69 of 154,15 of 19,10 of 10,89 of 165,3 of 12,2 of 6,L,Ben Rothwell,0,89 of 276,32%,95 of 287,0 of 0,---,0,0,0:19,63 of 247,16 of 19,10 of 10,78 of 260,11 of 16,0 of 0
1691,Decision - Unanimous,3,15:00,W,Marcin Tybura,0,24 of 52,46%,70 of 119,3 of 7,42%,0,0,9:25,15 of 36,5 of 9,4 of 7,14 of 37,6 of 11,4 of 4,L,Maxim Grishin,0,18 of 32,56%,54 of 71,0 of 0,---,0,0,0:16,9 of 20,4 of 5,5 of 7,14 of 27,4 of 5,0 of 0
1692,Decision - Unanimous,3,15:00,W,Marcin Tybura,0,43 of 106,40%,116 of 199,2 of 8,25%,0,0,8:22,36 of 90,7 of 16,0 of 0,15 of 63,5 of 8,23 of 35,L,Serghei Spivac,0,26 of 83,31%,40 of 101,0 of 1,0%,0,0,0:00,23 of 80,3 of 3,0 of 0,20 of 74,6 of 9,0 of 0
1693,KO/TKO,1,0:59,L,Marcin Tybura,0,6 of 7,85%,6 of 7,0 of 0,---,0,0,0:00,1 of 2,1 of 1,4 of 4,6 of 7,0 of 0,0 of 0,W,Augusto Sakai,1,15 of 27,55%,15 of 27,0 of 0,---,0,0,0:03,13 of 25,2 of 2,0 of 0,6 of 18,7 of 7,2 of 2
1694,KO/TKO,2,8:15,L,Marcin Tybura,0,28 of 70,40%,28 of 70,0 of 0,---,0,0,0:00,17 of 58,6 of 7,5 of 5,26 of 65,2 of 5,0 of 0,W,Shamil Abdurakhimov,1,36 of 87,41%,36 of 87,0 of 3,0%,0,0,0:00,24 of 72,10 of 13,2 of 2,26 of 74,10 of 13,0 of 0
1695,Decision - Unanimous,3,15:00,W,Marcin Tybura,0,41 of 68,60%,87 of 123,5 of 7,71%,0,0,7:43,17 of 37,10 of 14,14 of 17,19 of 42,0 of 0,22 of 26,L,Stefan Struve,0,31 of 78,39%,33 of 81,0 of 0,---,0,0,0:05,20 of 64,3 of 5,8 of 9,27 of 73,3 of 3,1 of 2
1696,KO/TKO,3,12:48,L,Marcin Tybura,0,37 of 56,66%,83 of 104,1 of 2,50%,1,1,7:13,19 of 32,8 of 11,10 of 13,9 of 20,5 of 5,23 of 31,W,Derrick Lewis,2,30 of 45,66%,32 of 47,1 of 2,50%,0,0,2:16,27 of 42,2 of 2,1 of 1,7 of 13,3 of 4,20 of 28
1697,Decision - Unanimous,5,25:00,L,Marcin Tybura,0,127 of 257,49%,137 of 269,1 of 1,100%,0,0,0:24,83 of 202,13 of 20,31 of 35,118 of 242,8 of 14,1 of 1,W,Fabricio Werdum,0,155 of 265,58%,179 of 290,1 of 7,14%,0,0,4:01,104 of 209,32 of 35,19 of 21,137 of 239,15 of 23,3 of 3
1698,Decision - Unanimous,3,15:00,W,Marcin Tybura,0,51 of 92,55%,127 of 188,2 of 3,66%,0,0,8:37,46 of 83,3 of 7,2 of 2,5 of 22,4 of 5,42 of 65,L,Andrei Arlovski,0,28 of 56,50%,41 of 74,0 of 2,0%,0,0,4:00,18 of 42,7 of 10,3 of 4,17 of 40,10 of 14,1 of 2
1699,KO/TKO,3,13:46,W,Marcin Tybura,0,50 of 66,75%,144 of 174,1 of 2,50%,0,0,2:53,41 of 57,9 of 9,0 of 0,11 of 25,20 of 21,19 of 20,L,Luis Henrique,0,14 of 25,56%,59 of 78,3 of 11,27%,1,0,8:23,7 of 17,5 of 5,2 of 3,1 of 8,13 of 17,0 of 0
1700,KO/TKO,2,5:53,W,Marcin Tybura,1,15 of 62,24%,20 of 67,0 of 0,---,0,0,0:15,11 of 54,2 of 5,2 of 3,14 of 59,1 of 3,0 of 0,L,Viktor Pesta,0,3 of 42,7%,4 of 43,0 of 2,0%,0,0,0:29,2 of 41,1 of 1,0 of 0,3 of 41,0 of 1,0 of 0
1701,Decision - Unanimous,3,15:00,L,Marcin Tybura,0,48 of 101,47%,75 of 128,1 of 3,33%,0,0,1:17,30 of 78,14 of 19,4 of 4,37 of 89,11 of 12,0 of 0,W,Timothy Johnson,0,45 of 127,35%,83 of 169,0 of 0,---,0,0,3:44,34 of 113,6 of 9,5 of 5,33 of 111,12 of 16,0 of 0
1702,Decision - Split,5,25:00,W,Zhang Weili,0,165 of 408,40%,170 of 413,1 of 8,12%,0,0,1:14,96 of 305,11 of 22,58 of 81,158 of 393,7 of 15,0 of 0,L,Joanna Jedrzejczyk,0,186 of 360,51%,196 of 370,0 of 0,---,0,0,1:00,96 of 230,32 of 47,58 of 83,171 of 342,15 of 18,0 of 0
1703,KO/TKO,1,0:42,W,Zhang Weili,1,29 of 38,76%,29 of 38,0 of 0,---,0,0,0:01,16 of 25,7 of 7,6 of 6,15 of 23,13 of 13,1 of 2,L,Jessica Andrade,0,4 of 12,33%,4 of 12,0 of 0,---,0,0,0:05,2 of 9,1 of 2,1 of 1,3 of 11,1 of 1,0 of 0
1704,Decision - Unanimous,3,15:00,W,Zhang Weili,0,63 of 142,44%,118 of 204,2 of 8,25%,0,1,4:40,29 of 76,6 of 21,28 of 45,43 of 117,6 of 8,14 of 17,L,Tecia Torres,0,30 of 62,48%,33 of 65,0 of 1,0%,0,0,1:08,14 of 41,5 of 7,11 of 14,25 of 54,2 of 3,3 of 5
1705,Submission,1,3:41,W,Zhang Weili,0,45 of 58,77%,63 of 79,1 of 3,33%,2,0,2:30,36 of 48,7 of 8,2 of 2,3 of 9,3 of 3,39 of 46,L,Jessica Aguilar,0,9 of 12,75%,11 of 14,0 of 1,0%,0,0,0:47,0 of 2,8 of 9,1 of 1,0 of 2,9 of 10,0 of 0
1706,Decision - Unanimous,3,15:00,W,Zhang Weili,0,77 of 194,39%,83 of 200,1 of 2,50%,0,0,0:48,31 of 107,15 of 30,31 of 57,71 of 185,4 of 7,2 of 2,L,Danielle Taylor,0,34 of 123,27%,35 of 124,0 of 1,0%,1,0,0:00,22 of 104,8 of 11,4 of 8,31 of 120,3 of 3,0 of 0
1707,Decision - Split,3,15:00,W,Rose Namajunas,0,82 of 235,34%,82 of 235,0 of 1,0%,0,0,0:00,63 of 209,12 of 19,7 of 7,77 of 225,5 of 10,0 of 0,L,Jessica Andrade,0,71 of 205,34%,79 of 213,1 of 3,33%,0,0,0:29,31 of 134,25 of 55,15 of 16,64 of 194,7 of 11,0 of 0
1708,KO/TKO,2,7:58,L,Rose Namajunas,1,55 of 125,44%,55 of 125,0 of 2,0%,1,0,0:29,54 of 124,1 of 1,0 of 0,50 of 119,3 of 3,2 of 3,W,Jessica Andrade,0,47 of 105,44%,49 of 107,2 of 4,50%,0,0,0:38,17 of 68,11 of 17,19 of 20,41 of 98,5 of 6,1 of 1
1709,Decision - Unanimous,5,25:00,W,Rose Namajunas,0,105 of 301,34%,108 of 304,1 of 2,50%,0,0,0:56,85 of 270,15 of 24,5 of 7,105 of 301,0 of 0,0 of 0,L,Joanna Jedrzejczyk,0,145 of 356,40%,160 of 372,0 of 0,---,0,0,0:00,64 of 257,27 of 37,54 of 62,135 of 342,10 of 14,0 of 0
1710,KO/TKO,1,3:03,W,Rose Namajunas,1,15 of 34,44%,18 of 37,0 of 0,---,0,0,0:26,14 of 32,0 of 0,1 of 2,8 of 23,0 of 1,7 of 10,L,Joanna Jedrzejczyk,0,5 of 42,11%,5 of 42,0 of 0,---,0,0,0:00,2 of 37,1 of 2,2 of 3,5 of 42,0 of 0,0 of 0
1711,Submission,2,7:47,W,Rose Namajunas,1,47 of 72,65%,56 of 86,1 of 1,100%,1,1,4:33,42 of 63,3 of 5,2 of 4,9 of 28,5 of 5,33 of 39,L,Michelle Waterson,0,22 of 33,66%,31 of 44,1 of 1,100%,0,0,0:50,5 of 14,4 of 5,13 of 14,19 of 30,2 of 2,1 of 1
1712,Decision - Split,3,15:00,L,Rose Namajunas,0,70 of 145,48%,74 of 149,2 of 6,33%,0,0,2:26,52 of 123,10 of 13,8 of 9,50 of 116,16 of 25,4 of 4,W,Karolina Kowalkiewicz,0,84 of 242,34%,128 of 293,0 of 0,---,0,0,2:18,44 of 185,29 of 38,11 of 19,36 of 174,41 of 56,7 of 12
1713,Decision - Unanimous,3,15:00,W,Rose Namajunas,0,46 of 156,29%,48 of 160,2 of 4,50%,0,0,1:20,27 of 126,15 of 25,4 of 5,41 of 145,0 of 3,5 of 8,L,Tecia Torres,0,61 of 121,50%,93 of 155,0 of 1,0%,0,0,0:45,20 of 74,13 of 18,28 of 29,51 of 108,9 of 12,1 of 1
1714,Submission,5,22:25,W,Rose Namajunas,0,57 of 100,57%,104 of 158,8 of 10,80%,4,0,16:41,43 of 82,12 of 16,2 of 2,27 of 53,9 of 13,21 of 34,L,Paige VanZant,0,10 of 50,20%,53 of 97,0 of 2,0%,0,0,0:26,2 of 30,4 of 15,4 of 5,8 of 46,2 of 4,0 of 0
1715,Submission,1,2:47,W,Rose Namajunas,0,13 of 33,39%,14 of 36,1 of 1,100%,1,0,1:11,12 of 32,1 of 1,0 of 0,11 of 29,2 of 4,0 of 0,L,Angela Hill,0,12 of 22,54%,16 of 26,0 of 0,---,0,0,0:11,8 of 18,2 of 2,2 of 2,9 of 19,3 of 3,0 of 0
1716,Submission,3,11:26,L,Rose Namajunas,0,28 of 72,38%,29 of 73,1 of 3,33%,0,0,0:24,16 of 53,8 of 14,4 of 5,22 of 58,4 of 10,2 of 4,W,Carla Esparza,0,42 of 90,46%,107 of 180,5 of 7,71%,1,0,5:02,36 of 79,6 of 10,0 of 1,11 of 45,11 of 21,20 of 24
1717,Decision - Split,5,25:00,L,Joanna Jedrzejczyk,0,186 of 360,51%,196 of 370,0 of 0,---,0,0,1:00,96 of 230,32 of 47,58 of 83,171 of 342,15 of 18,0 of 0,W,Zhang Weili,0,165 of 408,40%,170 of 413,1 of 8,12%,0,0,1:14,96 of 305,11 of 22,58 of 81,158 of 393,7 of 15,0 of 0
1718,Decision - Unanimous,5,25:00,W,Joanna Jedrzejczyk,0,180 of 300,60%,226 of 347,3 of 5,60%,1,0,5:33,48 of 136,54 of 74,78 of 90,132 of 246,48 of 54,0 of 0,L,Michelle Waterson,0,58 of 160,36%,71 of 174,1 of 9,11%,1,0,4:59,25 of 84,12 of 40,21 of 36,44 of 141,14 of 19,0 of 0
1719,Decision - Unanimous,5,25:00,L,Joanna Jedrzejczyk,0,78 of 250,31%,124 of 300,0 of 0,---,0,0,0:17,12 of 133,44 of 78,22 of 39,59 of 224,19 of 26,0 of 0,W,Valentina Shevchenko,0,89 of 191,46%,118 of 223,5 of 14,35%,0,0,8:14,50 of 135,16 of 25,23 of 31,65 of 159,16 of 24,8 of 8
1720,Decision - Unanimous,3,15:00,W,Joanna Jedrzejczyk,0,62 of 166,37%,81 of 185,0 of 0,---,0,0,2:15,21 of 113,27 of 38,14 of 15,40 of 134,22 of 32,0 of 0,L,Tecia Torres,0,33 of 78,42%,54 of 100,0 of 10,0%,0,0,4:43,11 of 44,2 of 2,20 of 32,29 of 73,4 of 5,0 of 0
1721,Decision - Unanimous,5,25:00,L,Joanna Jedrzejczyk,0,145 of 356,40%,160 of 372,0 of 0,---,0,0,0:00,64 of 257,27 of 37,54 of 62,135 of 342,10 of 14,0 of 0,W,Rose Namajunas,0,105 of 301,34%,108 of 304,1 of 2,50%,0,0,0:56,85 of 270,15 of 24,5 of 7,105 of 301,0 of 0,0 of 0
1722,KO/TKO,1,3:03,L,Joanna Jedrzejczyk,0,5 of 42,11%,5 of 42,0 of 0,---,0,0,0:00,2 of 37,1 of 2,2 of 3,5 of 42,0 of 0,0 of 0,W,Rose Namajunas,1,15 of 34,44%,18 of 37,0 of 0,---,0,0,0:26,14 of 32,0 of 0,1 of 2,8 of 23,0 of 1,7 of 10
1723,Decision - Unanimous,5,25:00,W,Joanna Jedrzejczyk,0,225 of 352,63%,230 of 357,0 of 0,---,0,0,0:16,101 of 211,49 of 63,75 of 78,193 of 307,32 of 45,0 of 0,L,Jessica Andrade,0,83 of 218,38%,94 of 230,2 of 10,20%,0,0,3:31,51 of 163,15 of 35,17 of 20,58 of 178,24 of 39,1 of 1
1724,Decision - Unanimous,5,25:00,W,Joanna Jedrzejczyk,0,171 of 360,47%,181 of 371,1 of 1,100%,0,0,3:29,63 of 191,44 of 81,64 of 88,126 of 293,45 of 67,0 of 0,L,Karolina Kowalkiewicz,0,50 of 220,22%,63 of 234,0 of 1,0%,0,0,3:34,36 of 188,11 of 22,3 of 10,36 of 195,14 of 25,0 of 0
1725,Decision - Unanimous,5,25:00,W,Joanna Jedrzejczyk,0,176 of 330,53%,194 of 351,1 of 2,50%,0,0,1:31,112 of 256,35 of 39,29 of 35,146 of 291,28 of 37,2 of 2,L,Claudia Gadelha,1,63 of 150,42%,101 of 191,4 of 13,30%,0,0,9:31,57 of 136,5 of 11,1 of 3,46 of 126,10 of 15,7 of 9
1726,Decision - Unanimous,5,25:00,W,Joanna Jedrzejczyk,0,220 of 441,49%,227 of 448,0 of 0,---,0,0,3:06,97 of 289,53 of 67,70 of 85,203 of 414,17 of 27,0 of 0,L,Valerie Letourneau,0,103 of 321,32%,120 of 341,1 of 5,20%,0,0,0:36,72 of 275,20 of 32,11 of 14,91 of 303,7 of 13,5 of 5
1727,KO/TKO,3,14:22,W,Joanna Jedrzejczyk,0,126 of 204,61%,162 of 247,0 of 0,---,0,0,1:48,81 of 155,18 of 22,27 of 27,96 of 160,24 of 35,6 of 9,L,Jessica Penne,0,25 of 88,28%,28 of 91,0 of 11,0%,0,0,2:34,13 of 69,7 of 14,5 of 5,24 of 85,1 of 3,0 of 0
1728,KO/TKO,2,9:17,W,Joanna Jedrzejczyk,0,53 of 105,50%,55 of 107,0 of 0,---,0,0,0:28,50 of 101,3 of 4,0 of 0,32 of 75,16 of 25,5 of 5,L,Carla Esparza,0,4 of 22,18%,6 of 24,1 of 17,5%,0,0,1:07,3 of 19,1 of 2,0 of 1,2 of 19,2 of 3,0 of 0
1729,Decision - Split,3,15:00,W,Joanna Jedrzejczyk,1,38 of 125,30%,47 of 134,0 of 0,---,0,0,1:07,20 of 102,18 of 22,0 of 1,20 of 96,15 of 22,3 of 7,L,Claudia Gadelha,0,27 of 70,38%,59 of 104,7 of 16,43%,1,0,8:46,18 of 59,9 of 11,0 of 0,11 of 45,11 of 18,5 of 7
1730,Decision - Unanimous,3,15:00,W,Joanna Jedrzejczyk,0,46 of 168,27%,55 of 180,0 of 0,---,0,0,0:09,24 of 128,21 of 36,1 of 4,34 of 152,12 of 16,0 of 0,L,Juliana Lima,0,18 of 77,23%,38 of 103,1 of 14,7%,0,0,6:10,8 of 56,3 of 5,7 of 16,13 of 69,3 of 5,2 of 3
1731,KO/TKO,1,4:55,W,Jessica Andrade,1,28 of 43,65%,62 of 79,2 of 3,66%,0,0,2:26,11 of 24,11 of 12,6 of 7,14 of 28,8 of 9,6 of 6,L,Katlyn Chookagian,0,19 of 53,35%,27 of 61,0 of 0,---,0,0,0:25,7 of 35,12 of 18,0 of 0,10 of 41,9 of 12,0 of 0
1732,Decision - Split,3,15:00,L,Jessica Andrade,0,71 of 205,34%,79 of 213,1 of 3,33%,0,0,0:29,31 of 134,25 of 55,15 of 16,64 of 194,7 of 11,0 of 0,W,Rose Namajunas,0,82 of 235,34%,82 of 235,0 of 1,0%,0,0,0:00,63 of 209,12 of 19,7 of 7,77 of 225,5 of 10,0 of 0
1733,KO/TKO,1,0:42,L,Jessica Andrade,0,4 of 12,33%,4 of 12,0 of 0,---,0,0,0:05,2 of 9,1 of 2,1 of 1,3 of 11,1 of 1,0 of 0,W,Zhang Weili,1,29 of 38,76%,29 of 38,0 of 0,---,0,0,0:01,16 of 25,7 of 7,6 of 6,15 of 23,13 of 13,1 of 2
1734,KO/TKO,2,7:58,W,Jessica Andrade,0,47 of 105,44%,49 of 107,2 of 4,50%,0,0,0:38,17 of 68,11 of 17,19 of 20,41 of 98,5 of 6,1 of 1,L,Rose Namajunas,1,55 of 125,44%,55 of 125,0 of 2,0%,1,0,0:29,54 of 124,1 of 1,0 of 0,50 of 119,3 of 3,2 of 3
1735,KO/TKO,1,1:58,W,Jessica Andrade,1,38 of 73,52%,39 of 74,0 of 0,---,0,0,0:01,32 of 66,4 of 5,2 of 2,31 of 65,7 of 8,0 of 0,L,Karolina Kowalkiewicz,0,24 of 56,42%,25 of 58,0 of 0,---,0,0,0:00,15 of 46,5 of 6,4 of 4,18 of 49,6 of 7,0 of 0
1736,Decision - Unanimous,3,15:00,W,Jessica Andrade,0,92 of 178,51%,151 of 237,10 of 12,83%,0,1,7:15,46 of 124,43 of 50,3 of 4,37 of 113,17 of 26,38 of 39,L,Tecia Torres,0,69 of 150,46%,88 of 171,2 of 2,100%,0,0,0:23,54 of 132,6 of 9,9 of 9,61 of 133,5 of 13,3 of 4
1737,Decision - Unanimous,3,15:00,W,Jessica Andrade,0,141 of 241,58%,242 of 355,4 of 7,57%,0,0,8:35,83 of 175,50 of 58,8 of 8,45 of 107,18 of 25,78 of 109,L,Claudia Gadelha,0,42 of 91,46%,47 of 96,0 of 7,0%,2,0,0:08,41 of 87,1 of 4,0 of 0,30 of 71,9 of 15,3 of 5
1738,Decision - Unanimous,5,25:00,L,Jessica Andrade,0,83 of 218,38%,94 of 230,2 of 10,20%,0,0,3:31,51 of 163,15 of 35,17 of 20,58 of 178,24 of 39,1 of 1,W,Joanna Jedrzejczyk,0,225 of 352,63%,230 of 357,0 of 0,---,0,0,0:16,101 of 211,49 of 63,75 of 78,193 of 307,32 of 45,0 of 0
1739,Decision - Unanimous,3,15:00,W,Jessica Andrade,0,131 of 322,40%,148 of 342,2 of 3,66%,0,0,1:35,86 of 249,41 of 68,4 of 5,73 of 207,58 of 115,0 of 0,L,Angela Hill,1,89 of 209,42%,99 of 220,0 of 0,---,0,0,0:06,61 of 161,24 of 43,4 of 5,55 of 145,30 of 57,4 of 7
1740,Submission,1,4:38,W,Jessica Andrade,0,20 of 28,71%,44 of 58,2 of 3,66%,1,0,3:29,10 of 18,10 of 10,0 of 0,2 of 3,6 of 6,12 of 19,L,Joanne Calderwood,0,13 of 26,50%,23 of 36,0 of 0,---,0,0,0:12,3 of 16,4 of 4,6 of 6,8 of 19,4 of 5,1 of 2
1741,KO/TKO,2,7:56,W,Jessica Andrade,0,117 of 205,57%,118 of 206,0 of 0,---,0,0,0:32,90 of 171,26 of 33,1 of 1,78 of 145,39 of 60,0 of 0,L,Jessica Penne,0,27 of 91,29%,28 of 92,0 of 6,0%,0,0,0:00,17 of 67,10 of 23,0 of 1,19 of 80,8 of 11,0 of 0
1742,Submission,2,9:58,L,Jessica Andrade,0,41 of 66,62%,59 of 87,4 of 5,80%,1,0,3:28,19 of 40,12 of 15,10 of 11,26 of 41,15 of 25,0 of 0,W,Raquel Pennington,0,41 of 68,60%,66 of 96,2 of 2,100%,1,0,3:04,26 of 52,10 of 11,5 of 5,17 of 34,22 of 30,2 of 4
